Nome: PIATA
Codigo Estacao: A430
Latitude: -13.155681
Longitude: -41.774125
Altitude: 1283.95
Situacao: Operante
Data Inicial: 2015-01-01
Data Final: 2019-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MEDIA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);
2015-08-11;8;15,033333;79,125;
2015-08-12;,6;14,3125;72,833333;
2015-08-13;0;14,145833;77,625;
2015-08-14;1,6;15,241667;85,875;
2015-08-15;9;16,691667;86,958333;
2015-08-16;29,4;16,1;81,166667;
2015-08-17;1,6;15,85;75,875;
2015-08-18;10,2;16,570833;80,875;
2015-08-19;10,2;17,366667;77,291667;
2015-08-20;0;18,379167;68,708333;
2015-08-21;0;18,875;62,875;
2015-08-22;0;19,445833;67,25;
2015-08-23;0;18,758333;74,125;
2015-08-24;0;19,475;62,333333;
2015-08-25;0;19,008333;61,666667;
2015-08-26;0;19,1;65,041667;
2015-08-27;0;19,725;61,791667;
2015-08-28;0;20,158333;61,458333;
2015-08-29;0;18,35;72,958333;
2015-08-30;5,8;17,3125;78,375;
2015-08-31;0;18,066667;65,541667;
2015-09-01;0;18,541667;56,25;
2015-09-02;0;18,6125;56,25;
2015-09-03;0;19,070833;51,541667;
2015-09-04;0;20,729167;41,291667;
2015-09-05;0;22,979167;37,875;
2015-09-06;0;22,125;51,791667;
2015-09-07;0;21,0875;56,166667;
2015-09-08;0;19,816667;55,291667;
2015-09-09;0;20,8375;55,708333;
2015-09-10;0;20,670833;58,125;
2015-09-11;0;20,641667;50,666667;
2015-09-12;0;21,7625;51,833333;
2015-09-13;0;21,758333;57,5;
2015-09-14;0;20,995833;59,416667;
2015-09-15;0;19,895833;65,166667;
2015-09-16;0;18,770833;62,541667;
2015-09-17;1,4;19,429167;65,041667;
2015-09-18;0;19,7;57,458333;
2015-09-19;0;20,1;60,75;
2015-09-20;0;20,4125;68,583333;
2015-09-21;0;19,858333;68,375;
2015-09-22;0;19,675;57,625;
2015-09-23;0;21,004167;51,083333;
2015-09-24;0;21,533333;49,166667;
2015-09-25;0;22,120833;45,125;
2015-09-26;0;22,225;38,333333;
2015-09-27;0;20,916667;52,625;
2015-09-28;0;21,145833;54,083333;
2015-09-29;0;21,570833;48,083333;
2015-09-30;0;20,629167;53,541667;
2015-10-01;0;21,075;57,875;
2015-10-02;0;20,495833;45,291667;
2015-10-03;0;21,029167;48,083333;
2015-10-04;0;22,779167;41,083333;
2015-10-05;0;24,216667;38,875;
2015-10-06;0;21,445833;58,833333;
2015-10-07;0;20,445833;69,291667;
2015-10-08;2,4;19,6125;67,958333;
2015-10-09;0;19,970833;57,875;
2015-10-10;0;20,9;57,75;
2015-10-11;,8;19,375;65,625;
2015-10-12;0;18,316667;64,375;
2015-10-13;0;20,154167;57,458333;
2015-10-14;0;20,895833;58,625;
2015-10-15;0;21,529167;61;
2015-10-16;0;21,483333;58,666667;
2015-10-17;0;22,208333;47,708333;
2015-10-18;0;22,766667;34,875;
2015-10-19;0;20,8375;49,666667;
2015-10-20;0;22,225;49,083333;
2015-10-21;0;24,133333;43,291667;
2015-10-22;0;23,666667;50,375;
2015-10-23;0;22,233333;58;
2015-10-24;0;22,029167;59,958333;
2015-10-25;0;21,504167;61,666667;
2015-10-26;0;21,691667;52,041667;
2015-10-27;0;21,533333;61,875;
2015-10-28;0;21,991667;60,541667;
2015-10-29;0;22,8875;57,25;
2015-10-30;28;19,229167;85,875;
2015-10-31;9,2;null;71,35;
2015-11-01;0;21,095455;62,227273;
2015-11-02;0;21,125;56,791667;
2015-11-03;0;20,979167;57,416667;
2015-11-04;0;21,879167;53,875;
2015-11-05;0;22,541667;50,333333;
2015-11-06;0;24,533333;39,041667;
2015-11-07;0;22,7375;51,625;
2015-11-08;0;21,854167;53,458333;
2015-11-09;0;20,383333;57,083333;
2015-11-10;0;20,904167;53,791667;
2015-11-11;0;21,020833;55,416667;
2015-11-12;0;22,8875;52,916667;
2015-11-13;0;24,941667;37,958333;
2015-11-14;0;24,1875;48,583333;
2015-11-15;0;24,2125;52,958333;
2015-11-16;0;23,845833;56,333333;
2015-11-17;0;23,879167;54,458333;
2015-11-18;0;23,95;47,208333;
2015-11-19;0;24,2875;44,666667;
2015-11-20;0;23,363636;56,5;
2015-11-21;,8;null;59,947368;
2015-11-22;0;22,779167;64,958333;
2015-11-23;1;22,625;70,625;
2015-11-24;,8;23,125;66,916667;
2015-11-25;0;23,345833;66,75;
2015-11-26;37;null;66,809524;
2015-11-27;52;20,5375;76,958333;
2015-11-28;0;21,491667;77,666667;
2015-11-29;1,4;22,554545;71,818182;
2015-11-30;0;23,595833;57,583333;
2015-12-01;0;23,670833;47,166667;
2015-12-02;0;23,6625;48,375;
2015-12-03;0;24,2125;43,958333;
2015-12-04;0;25,779167;37,791667;
2015-12-05;0;22,525;63,083333;
2015-12-06;13,6;20,66087;77,304348;
2015-12-07;47,4;null;59,8;
2015-12-08;0;24,127273;51,5;
2015-12-09;0;22,6125;46,875;
2015-12-10;0;22,670833;45,458333;
2015-12-11;0;23,358333;41,666667;
2015-12-12;0;24,173913;47,956522;
2015-12-13;0;23,254167;54,916667;
2015-12-14;0;22,520833;56,541667;
2015-12-15;0;22,0125;51,541667;
2015-12-16;0;21,15;64,625;
2015-12-17;12,2;21,470833;66,25;
2015-12-18;5;22,270833;61,083333;
2015-12-19;0;21,820833;53,875;
2015-12-20;0;22,0625;59,666667;
2015-12-21;0;21,079167;66,791667;
2015-12-22;14,2;21,129167;64,916667;
2015-12-23;0;20,4375;67,958333;
2015-12-24;0;20,820833;62,166667;
2015-12-25;0;22,204167;55,875;
2015-12-26;0;22,55;57,625;
2015-12-27;0;22,041667;61;
2015-12-28;0;21,695833;61,791667;
2015-12-29;0;22,325;62,166667;
2015-12-30;0;23,029167;56,875;
2015-12-31;0;22,145833;58,208333;
2016-01-01;0;23,370833;60,416667;
2016-01-02;null;null;47,5;
2016-01-03;null;23,917391;51,652174;
