Data Medicao,INSOLACAO TOTAL; MENSAL(h),NEBULOSIDADE; MEDIA MENSAL(décimos),NUMERO DE DIAS COM PRECIP; PLUV; MENSAL(número),PRECIPITACAO TOTAL; MENSAL(mm),TEMPERATURA MAXIMA MEDIA; MENSAL(°C),TEMPERATURA MEDIA COMPENSADA; MENSAL(°C),TEMPERATURA MINIMA MEDIA; MENSAL(°C),UMIDADE RELATIVA DO AR; MEDIA MENSAL(%),Ano Medicao
ABR,202.2,8.155555999999999,,98.8,30.603333000000006,24.7,18.623333,70.94166700000002,2017
MAI,188.9,7.946236999999999,,109.1,28.66,23.006452,17.05,75.879032,2017
JUN,189.7,7.466667,,26.7,27.573333,21.676,15.573332999999998,79.06666700000002,2017
JUL,178.0,8.290322999999999,,49.4,26.054839,19.920645,13.583870999999998,80.314516,2017
AGO,208.8,5.978495,,9.8,29.145161,21.705806,15.845161,72.653226,2017
SET,197.3,8.5,,44.1,29.05,22.618667,17.223333,68.966667,2017
OUT,261.6,5.873656,,2.9,33.174194,25.529677,19.309677,58.31451600000001,2017
NOV,135.2,8.125,,161.0,29.74,23.964667,18.986667,74.133333,2017
DEZ,168.4,7.728495,,51.6,31.63871,25.232258,19.512903,69.233871,2017
JAN,230.8,7.446236999999999,,60.9,33.167742,25.772258,19.154839000000006,65.822581,2018
FEV,179.8,8.229167,,126.0,31.492857,25.210714000000007,19.171429,70.089286,2018
MAR,201.8,7.836022,,229.8,32.038709999999995,25.14129,18.667742,73.701613,2018
ABR,180.5,8.430556,,73.5,29.576667,23.608,17.683332999999994,77.783333,2018
MAI,180.9,8.104839,,68.6,28.493548,22.593548,16.503226,79.75,2018
JUN,191.6,7.944444,,142.2,27.496667,21.154667,15.203333,83.975,2018
JUL,215.2,7.177419,,24.6,27.83871,20.90129,14.645160999999998,80.637097,2018
AGO,190.7,7.2849460000000015,,18.6,29.758065,22.34129,15.409677,75.145161,2018
SET,220.7,6.111111,,13.6,31.96,23.93,16.763333,64.525,2018
OUT,203.8,6.908602,,150.4,33.003226,25.47,18.4,63.129032,2018
NOV,164.8,8.0,,102.8,30.836667,24.462667,18.213333,71.625,2018
DEZ,185.1,7.876344,,195.0,30.474194,23.967097,17.612903,78.112903,2018
JAN,239.5,7.862903,,2.0,32.764516,25.716774,18.393548000000006,65.94354799999999,2019
FEV,196.4,7.3809520000000015,,60.3,34.782143,26.996429,19.442857,60.95535699999999,2019
MAR,257.2,7.258064999999998,,173.7,33.503226,25.917419,18.719355,69.314516,2019
ABR,209.9,8.125,,118.4,31.05,24.833333,18.93,77.45,2019
MAI,203.6,7.580645,,71.5,29.774194,23.855484,18.154839000000006,79.104839,2019
JUN,186.1,7.58427,,49.1,28.346667,21.934667,15.683333,81.94166700000002,2019
JUL,191.2,6.413043,,44.4,27.587097,20.557333,14.023333,83.266129,2019
AGO,198.1,8.346774,,61.1,27.709677000000006,21.331333,14.99,79.475806,2019
SET,202.7,7.291666999999999,,34.8,30.133333,22.610345,15.996552,76.166667,2019
OUT,242.1,7.110214999999998,,91.9,32.909677,24.789032,17.319354999999998,67.94354799999999,2019
NOV,228.6,6.597222,,40.5,33.973333000000004,,18.966667,65.825,2019
DEZ,268.0,6.6801080000000015,,42.5,35.051613,26.694194,18.822581,61.774194,2019
