datahora,satelite,pais,estado,municipio,bioma,diasemchuva,precipitacao,riscofogo,latitude,longitude,frp,areaprotegida
2015/12/20 16:08:00,AQUA_M-T,Brasil,BAHIA,MUCUGE,Caatinga,14,0,1,-13.159,-41.351,,PARNA DA CHAPADA DA DIAMANTINA
2015/11/10 16:57:00,AQUA_M-T,Brasil,BAHIA,IBICOARA,Caatinga,10,0,0.9,-13.345,-41.289,,PARNA DA CHAPADA DA DIAMANTINA
2015/12/18 16:20:00,AQUA_M-T,Brasil,BAHIA,MUCUGE,Caatinga,12,0,1,-13.188,-41.269,,PARNA DA CHAPADA DA DIAMANTINA
2015/11/20 15:56:00,AQUA_M-T,Brasil,BAHIA,LENCOIS,Caatinga,3,0.1,1,-12.669,-41.45,,PARNA DA CHAPADA DA DIAMANTINA
2015/12/18 16:20:00,AQUA_M-T,Brasil,BAHIA,MUCUGE,Caatinga,12,0,1,-13.199,-41.302,,PARNA DA CHAPADA DA DIAMANTINA
2015/09/14 17:03:00,AQUA_M-T,Brasil,BAHIA,ANDARAI,Caatinga,22,0,1,-12.754,-41.402,,PARNA DA CHAPADA DA DIAMANTINA
2015/11/13 15:50:00,AQUA_M-T,Brasil,BAHIA,LENCOIS,Caatinga,14,0,1,-12.498,-41.437,,PARNA DA CHAPADA DA DIAMANTINA
2015/11/09 16:14:00,AQUA_M-T,Brasil,BAHIA,IBICOARA,Caatinga,9,0,1,-13.385,-41.257,,PARNA DA CHAPADA DA DIAMANTINA
2015/11/14 16:33:00,AQUA_M-T,Brasil,BAHIA,LENCOIS,Caatinga,15,0,1,-12.45,-41.418,,PARNA DA CHAPADA DA DIAMANTINA
2015/11/14 16:33:00,AQUA_M-T,Brasil,BAHIA,LENCOIS,Caatinga,15,0,1,-12.497,-41.421,,PARNA DA CHAPADA DA DIAMANTINA
2015/12/11 16:14:00,AQUA_M-T,Brasil,BAHIA,LENCOIS,Caatinga,5,0,1,-12.532,-41.41,,PARNA DA CHAPADA DA DIAMANTINA
2015/11/16 16:20:00,AQUA_M-T,Brasil,BAHIA,ANDARAI,Caatinga,15,5.4,1,-13.029,-41.303,,PARNA DA CHAPADA DA DIAMANTINA
2015/12/16 16:32:00,AQUA_M-T,Brasil,BAHIA,MUCUGE,Caatinga,7,0,1,-13.24,-41.207,,PARNA DA CHAPADA DA DIAMANTINA
2015/11/16 16:20:00,AQUA_M-T,Brasil,BAHIA,MUCUGE,Caatinga,15,5.6,1,-13.04,-41.312,,PARNA DA CHAPADA DA DIAMANTINA
2015/11/16 16:20:00,AQUA_M-T,Brasil,BAHIA,LENCOIS,Caatinga,17,0.3,1,-12.493,-41.407,,PARNA DA CHAPADA DA DIAMANTINA
2015/12/11 16:14:00,AQUA_M-T,Brasil,BAHIA,MUCUGE,Caatinga,6,0,0.9,-13.262,-41.234,,PARNA DA CHAPADA DA DIAMANTINA
2015/12/19 17:03:00,AQUA_M-T,Brasil,BAHIA,MUCUGE,Caatinga,13,0,1,-13.186,-41.278,,PARNA DA CHAPADA DA DIAMANTINA
2015/09/13 16:20:00,AQUA_M-T,Brasil,BAHIA,ANDARAI,Caatinga,19,0,1,-12.793,-41.403,,PARNA DA CHAPADA DA DIAMANTINA
2015/12/19 17:03:00,AQUA_M-T,Brasil,BAHIA,MUCUGE,Caatinga,13,0,1,-13.161,-41.316,,PARNA DA CHAPADA DA DIAMANTINA
2015/11/18 16:08:00,AQUA_M-T,Brasil,BAHIA,MUCUGE,Caatinga,2,0.5,1,-13.078,-41.3,,PARNA DA CHAPADA DA DIAMANTINA
2015/11/10 16:57:00,AQUA_M-T,Brasil,BAHIA,IBICOARA,Caatinga,10,0,1,-13.368,-41.262,,PARNA DA CHAPADA DA DIAMANTINA
2015/09/13 16:20:00,AQUA_M-T,Brasil,BAHIA,ANDARAI,Caatinga,20,0,1,-12.774,-41.405,,PARNA DA CHAPADA DA DIAMANTINA
2015/11/16 16:20:00,AQUA_M-T,Brasil,BAHIA,LENCOIS,Caatinga,16,0.6,1,-12.519,-41.454,,PARNA DA CHAPADA DA DIAMANTINA
2015/09/30 17:03:00,AQUA_M-T,Brasil,BAHIA,MUCUGE,Caatinga,35,0,1,-12.794,-41.484,,PARNA DA CHAPADA DA DIAMANTINA
2015/11/14 16:32:00,AQUA_M-T,Brasil,BAHIA,PALMEIRAS,Caatinga,14,0,1,-12.527,-41.503,,PARNA DA CHAPADA DA DIAMANTINA
2015/12/16 16:32:00,AQUA_M-T,Brasil,BAHIA,IBICOARA,Caatinga,7,0,1,-13.267,-41.202,,PARNA DA CHAPADA DA DIAMANTINA
2015/09/30 17:03:00,AQUA_M-T,Brasil,BAHIA,MUCUGE,Caatinga,35,0,1,-12.797,-41.491,,PARNA DA CHAPADA DA DIAMANTINA
2015/10/19 15:56:00,AQUA_M-T,Brasil,BAHIA,MUCUGE,Caatinga,59,0,1,-13.211,-41.362,,PARNA DA CHAPADA DA DIAMANTINA
2015/09/25 16:45:00,AQUA_M-T,Brasil,BAHIA,PALMEIRAS,Caatinga,34,0,1,-12.629,-41.522,,PARNA DA CHAPADA DA DIAMANTINA
2015/12/09 16:26:00,AQUA_M-T,Brasil,BAHIA,MUCUGE,Caatinga,3,0,0.8,-13.257,-41.277,,PARNA DA CHAPADA DA DIAMANTINA
2015/12/18 16:20:00,AQUA_M-T,Brasil,BAHIA,MUCUGE,Caatinga,12,0,1,-13.194,-41.31,,PARNA DA CHAPADA DA DIAMANTINA
2015/01/20 15:56:00,AQUA_M-T,Brasil,BAHIA,MUCUGE,Caatinga,6,0,1,-12.971,-41.44,,PARNA DA CHAPADA DA DIAMANTINA
2015/12/20 16:08:00,AQUA_M-T,Brasil,BAHIA,MUCUGE,Caatinga,14,0,1,-13.17,-41.254,,PARNA DA CHAPADA DA DIAMANTINA
2015/12/09 16:26:00,AQUA_M-T,Brasil,BAHIA,IBICOARA,Caatinga,4,0,0.6,-13.303,-41.208,,PARNA DA CHAPADA DA DIAMANTINA
2015/11/13 15:50:00,AQUA_M-T,Brasil,BAHIA,LENCOIS,Caatinga,13,0,1,-12.497,-41.477,,PARNA DA CHAPADA DA DIAMANTINA
2015/11/13 15:50:00,AQUA_M-T,Brasil,BAHIA,LENCOIS,Caatinga,14,0,1,-12.476,-41.444,,PARNA DA CHAPADA DA DIAMANTINA
2015/12/20 16:08:00,AQUA_M-T,Brasil,BAHIA,MUCUGE,Caatinga,14,0,1,-13.126,-41.372,,PARNA DA CHAPADA DA DIAMANTINA
